architecture,scenario,seed,method_id,method,implementation,allocation,selected_learning_rate,lora_plus_ratio,validation_accuracy,validation_nll,best_epoch,epochs_ran,trainable_parameters,train_seconds,target_accuracy,target_macro_f1,target_nll,clean_accuracy,clean_macro_f1,clean_nll
cnn,contrast,201,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9555555555555556,0.14843207597732544,15,33,1990,0.6695128149999618,0.9555555555555556,0.9548613763627255,0.18851174414157867,0.8,0.8071104896167848,2.6566033363342285
cnn,contrast,202,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9722222222222222,0.11520092189311981,19,37,1990,0.8057749020003939,0.9722222222222222,0.9721210788924803,0.12054289877414703,0.6805555555555556,0.6896752249395123,4.396523952484131
cnn,contrast,203,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9555555555555556,0.1575089693069458,11,29,1990,0.7104565129998264,0.9555555555555556,0.955220558576723,0.15017138421535492,0.7083333333333334,0.74284623798193,3.9460201263427734
cnn,contrast,204,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9694444444444444,0.13013195991516113,26,44,1990,1.142476720999639,0.9694444444444444,0.9694348384932988,0.13337422907352448,0.7416666666666667,0.7520420888612216,3.529397964477539
cnn,contrast,205,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9638888888888889,0.1136496514081955,38,56,1990,1.4322910949999823,0.9638888888888889,0.9636171646104458,0.154179185628891,0.8333333333333334,0.8305111365538682,2.5489509105682373
cnn,contrast,206,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9694444444444444,0.1483333557844162,47,65,1990,1.639859212000374,0.9638888888888889,0.9633386484675311,0.14288610219955444,0.875,0.8780599079054259,1.6102535724639893
cnn,contrast,207,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9666666666666667,0.1468120813369751,23,41,1990,1.000525406000179,0.9472222222222222,0.9463868448280213,0.15226119756698608,0.8527777777777777,0.8550055232896658,1.8400139808654785
cnn,contrast,208,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9694444444444444,0.1276746690273285,40,58,1990,1.4605007370000749,0.9583333333333334,0.958017638050239,0.18078190088272095,0.7694444444444445,0.7785295571777598,3.1785318851470947
cnn,contrast,209,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9722222222222222,0.09382061660289764,46,64,1990,1.6413265430001047,0.975,0.9749451389102338,0.13871058821678162,0.7527777777777778,0.7640192623282749,3.59078311920166
cnn,contrast,210,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9638888888888889,0.1721215695142746,28,46,1990,1.0763842470000782,0.9555555555555556,0.9550661047780318,0.15175212919712067,0.8111111111111111,0.8210176802030931,2.7123498916625977
cnn,contrast,201,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.2638888888888889,1.909273624420166,0,0,0,0.0,0.2777777777777778,0.18468722708785584,1.9121378660202026,0.975,0.9748717164345347,0.1429867148399353
cnn,contrast,202,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.2638888888888889,1.909273624420166,0,0,0,0.0,0.2777777777777778,0.18468722708785584,1.9121378660202026,0.975,0.9748717164345347,0.1429867148399353
cnn,contrast,203,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.2638888888888889,1.909273624420166,0,0,0,0.0,0.2777777777777778,0.18468722708785584,1.9121378660202026,0.975,0.9748717164345347,0.1429867148399353
cnn,contrast,204,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.2638888888888889,1.909273624420166,0,0,0,0.0,0.2777777777777778,0.18468722708785584,1.9121378660202026,0.975,0.9748717164345347,0.1429867148399353
cnn,contrast,205,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.2638888888888889,1.909273624420166,0,0,0,0.0,0.2777777777777778,0.18468722708785584,1.9121378660202026,0.975,0.9748717164345347,0.1429867148399353
cnn,contrast,206,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.2638888888888889,1.909273624420166,0,0,0,0.0,0.2777777777777778,0.18468722708785584,1.9121378660202026,0.975,0.9748717164345347,0.1429867148399353
cnn,contrast,207,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.2638888888888889,1.909273624420166,0,0,0,0.0,0.2777777777777778,0.18468722708785584,1.9121378660202026,0.975,0.9748717164345347,0.1429867148399353
cnn,contrast,208,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.2638888888888889,1.909273624420166,0,0,0,0.0,0.2777777777777778,0.18468722708785584,1.9121378660202026,0.975,0.9748717164345347,0.1429867148399353
cnn,contrast,209,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.2638888888888889,1.909273624420166,0,0,0,0.0,0.2777777777777778,0.18468722708785584,1.9121378660202026,0.975,0.9748717164345347,0.1429867148399353
cnn,contrast,210,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.2638888888888889,1.909273624420166,0,0,0,0.0,0.2777777777777778,0.18468722708785584,1.9121378660202026,0.975,0.9748717164345347,0.1429867148399353
cnn,contrast,201,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,0.9722222222222222,0.2385137528181076,55,73,13706,1.2259620260001611,0.9694444444444444,0.9694778304293342,0.2606194317340851,0.7944444444444444,0.7934908509330616,2.1403608322143555
cnn,contrast,202,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,0.9722222222222222,0.17218755185604095,94,112,13706,1.9561540839999907,0.9638888888888889,0.9640120939072536,0.19231203198432922,0.775,0.7791453575990672,2.4581637382507324
cnn,contrast,203,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,0.9722222222222222,0.46355709433555603,22,40,13706,0.6610217660004309,0.9583333333333334,0.9578662424388888,0.48839548230171204,0.7555555555555555,0.7545404397306338,2.228304147720337
cnn,contrast,204,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,0.975,0.1465390920639038,118,120,13706,2.111191222999878,0.9666666666666667,0.9665670926761953,0.16298498213291168,0.8111111111111111,0.8208299791719658,2.1905133724212646
cnn,contrast,205,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,0.9694444444444444,0.3540973663330078,32,50,13706,0.8404387059999863,0.9583333333333334,0.9581762275601085,0.3782936632633209,0.7861111111111111,0.7894594975770268,2.0751798152923584
cnn,contrast,206,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,0.9638888888888889,0.42486199736595154,25,43,13706,0.7320825669999067,0.9555555555555556,0.9556092372936822,0.4442228674888611,0.7805555555555556,0.7802056049105102,1.911810278892517
cnn,contrast,207,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,0.9722222222222222,0.47402623295783997,21,39,13706,0.6923871700000745,0.9527777777777777,0.9523217663524537,0.49557939171791077,0.7861111111111111,0.7879442233196626,1.973006010055542
cnn,contrast,208,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,0.9666666666666667,0.47941139340400696,21,39,13706,0.6563697319998028,0.9583333333333334,0.9578564283597041,0.5023419857025146,0.7916666666666666,0.7914807378582275,1.9338263273239136
cnn,contrast,209,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,0.9694444444444444,0.42381128668785095,25,43,13706,0.7461980009998115,0.9555555555555556,0.9553437649074304,0.44723501801490784,0.7638888888888888,0.7622989972642931,2.164367437362671
cnn,contrast,210,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,0.9694444444444444,0.5547672510147095,17,35,13706,0.5823005339998417,0.9638888888888889,0.9637639326818359,0.5782867074012756,0.7722222222222223,0.7718128950453929,1.9698282480239868
cnn,contrast,201,lora,LoRA,lora,4-4-4-4,0.03,1.0,0.9722222222222222,0.12563619017601013,21,39,1868,0.7510633199999575,0.975,0.9748244082591908,0.15224625170230865,0.9027777777777778,0.9032365333558561,1.1887456178665161
cnn,contrast,202,lora,LoRA,lora,4-4-4-4,0.03,1.0,0.9777777777777777,0.11273964494466782,25,43,1868,0.8166775109998525,0.9694444444444444,0.9693096811763773,0.13418099284172058,0.9055555555555556,0.9050280991937175,1.0622409582138062
cnn,contrast,203,lora,LoRA,lora,4-4-4-4,0.03,1.0,0.9527777777777777,0.15329959988594055,17,35,1868,0.6746449900001608,0.9583333333333334,0.9578452485195683,0.15654593706130981,0.8916666666666667,0.894079846755579,1.3789366483688354
cnn,contrast,204,lora,LoRA,lora,4-4-4-4,0.03,1.0,0.9722222222222222,0.11248111724853516,24,42,1868,0.7895234269999492,0.9722222222222222,0.9721904466851635,0.1413087099790573,0.925,0.9261708441542339,0.7759835124015808
cnn,contrast,205,lora,LoRA,lora,4-4-4-4,0.03,1.0,0.9722222222222222,0.08973291516304016,48,66,1868,1.403110676000324,0.9694444444444444,0.9692725210173556,0.1296074092388153,0.9333333333333333,0.932586704347932,0.8404775261878967
cnn,contrast,206,lora,LoRA,lora,4-4-4-4,0.03,1.0,0.9583333333333334,0.15547959506511688,18,36,1868,0.712202774999696,0.9583333333333334,0.9578949390837419,0.1546485722064972,0.8694444444444445,0.8743146289655686,1.4943674802780151
cnn,contrast,207,lora,LoRA,lora,4-4-4-4,0.03,1.0,0.9722222222222222,0.101317398250103,44,62,1868,1.1951955269996688,0.9694444444444444,0.9695042745459661,0.15214107930660248,0.9305555555555556,0.930489557798088,0.8426993489265442
cnn,contrast,208,lora,LoRA,lora,4-4-4-4,0.03,1.0,0.9694444444444444,0.11905621737241745,20,38,1868,0.7278270400001929,0.9611111111111111,0.9608846387440788,0.17040424048900604,0.9,0.9015035148995179,1.1463929414749146
cnn,contrast,209,lora,LoRA,lora,4-4-4-4,0.03,1.0,0.9694444444444444,0.11195316165685654,36,54,1868,1.0377539279998018,0.9583333333333334,0.9581150582478744,0.16325363516807556,0.9194444444444444,0.9206331266832392,1.0958986282348633
cnn,contrast,210,lora,LoRA,lora,4-4-4-4,0.03,1.0,0.9583333333333334,0.15152284502983093,16,34,1868,0.6685177029999068,0.9555555555555556,0.9552084070753135,0.1684706062078476,0.8861111111111111,0.8870264895095967,1.2622301578521729
cnn,contrast,201,lora_plus,LoRA+,lora_plus,4-4-4-4,0.0003,16.0,0.9555555555555556,0.3228926658630371,27,45,1868,0.8895399209995958,0.9333333333333333,0.9322236644239149,0.34852534532546997,0.8138888888888889,0.813139660201921,1.6759426593780518
cnn,contrast,202,lora_plus,LoRA+,lora_plus,4-4-4-4,0.0003,16.0,0.9555555555555556,0.36107224225997925,24,42,1868,0.830523046000053,0.9472222222222222,0.9471257163150811,0.37669721245765686,0.775,0.775566370849422,2.25506591796875
cnn,contrast,203,lora_plus,LoRA+,lora_plus,4-4-4-4,0.0003,16.0,0.9611111111111111,0.836757242679596,9,27,1868,0.5406893529998342,0.9444444444444444,0.9435972474298859,0.8531494736671448,0.675,0.6404204024801596,2.8366944789886475
cnn,contrast,204,lora_plus,LoRA+,lora_plus,4-4-4-4,0.0003,16.0,0.9666666666666667,0.3594455420970917,21,39,1868,0.7878025730001355,0.9555555555555556,0.9551946063072823,0.3862398862838745,0.775,0.775752210723011,1.9165905714035034
cnn,contrast,205,lora_plus,LoRA+,lora_plus,4-4-4-4,0.0003,16.0,0.9638888888888889,0.42946818470954895,15,33,1868,0.6570450039998832,0.9527777777777777,0.9525151722002734,0.4459701478481293,0.7305555555555555,0.7220944695042582,2.606560707092285
cnn,contrast,206,lora_plus,LoRA+,lora_plus,4-4-4-4,0.0003,16.0,0.9638888888888889,0.3608490526676178,21,39,1868,0.7877001490001021,0.9472222222222222,0.9470135561520616,0.383819580078125,0.7722222222222223,0.7694803972613908,2.291971445083618
cnn,contrast,207,lora_plus,LoRA+,lora_plus,4-4-4-4,0.0003,16.0,0.9611111111111111,0.37554407119750977,21,39,1868,0.7789779059999091,0.9472222222222222,0.9468997364493268,0.39779916405677795,0.8694444444444445,0.8694211104009332,1.252720832824707
cnn,contrast,208,lora_plus,LoRA+,lora_plus,4-4-4-4,0.0003,16.0,0.9638888888888889,0.8576668500900269,9,27,1868,0.5154509970002437,0.95,0.9496505699330999,0.8715179562568665,0.7,0.6595285604262912,2.6862003803253174
cnn,contrast,209,lora_plus,LoRA+,lora_plus,4-4-4-4,0.0003,16.0,0.9527777777777777,0.37818363308906555,22,40,1868,0.7749266870000611,0.9388888888888889,0.9381120456661994,0.4121236205101013,0.8166666666666667,0.8132619360056805,1.7293943166732788
cnn,contrast,210,lora_plus,LoRA+,lora_plus,4-4-4-4,0.0003,16.0,0.9611111111111111,0.7419440150260925,10,28,1868,0.5458052980002321,0.9611111111111111,0.9608244938684173,0.7546699643135071,0.75,0.7352345206232594,1.9210188388824463
cnn,contrast,201,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.9805555555555555,0.08729106187820435,15,33,122,0.5619906319998336,0.9694444444444444,0.9691725989732156,0.12598931789398193,0.8027777777777778,0.8085659047320274,2.8335957527160645
cnn,contrast,202,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.9833333333333333,0.08394568413496017,22,40,122,0.7093233110003894,0.9694444444444444,0.9691710346073833,0.11864800751209259,0.8138888888888889,0.8130144272726639,2.558098077774048
cnn,contrast,203,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.9833333333333333,0.07938851416110992,18,36,122,0.652875387000222,0.9722222222222222,0.9721169842312264,0.11320377141237259,0.8055555555555556,0.8082216829947415,2.678013324737549
cnn,contrast,204,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.9861111111111112,0.08519543707370758,17,35,122,0.627540057999795,0.975,0.9749338856396772,0.11634532362222672,0.8194444444444444,0.8214810241144075,2.56889271736145
cnn,contrast,205,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.9861111111111112,0.08356495946645737,18,36,122,0.6498736919998009,0.9694444444444444,0.9693697500755416,0.12356457114219666,0.8305555555555556,0.8336198092080792,2.367473602294922
cnn,contrast,206,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.9833333333333333,0.09217473119497299,11,29,122,0.5172075020000193,0.9666666666666667,0.9664683319046807,0.122669517993927,0.8055555555555556,0.809489565221293,2.670450448989868
cnn,contrast,207,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.9833333333333333,0.08604268729686737,19,37,122,0.6749379890002274,0.9722222222222222,0.9720740171440765,0.11612991988658905,0.8194444444444444,0.8218217384007422,2.5353915691375732
cnn,contrast,208,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.9805555555555555,0.08423721790313721,16,34,122,0.6023539239999991,0.9666666666666667,0.9664683319046807,0.1150611862540245,0.7972222222222223,0.8015241151345489,2.8405213356018066
cnn,contrast,209,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.9861111111111112,0.08134322613477707,21,39,122,0.6898033140000734,0.9722222222222222,0.9721169842312264,0.11599680781364441,0.825,0.8292898046593598,2.332139492034912
cnn,contrast,210,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.9833333333333333,0.08669345825910568,19,37,122,0.6709871610000846,0.9638888888888889,0.9636868000627592,0.12300622463226318,0.8194444444444444,0.8237587686268792,2.6225271224975586
cnn,rotation,201,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9611111111111111,0.1678130328655243,26,44,1990,0.9391327930002262,0.9638888888888889,0.963546621050504,0.14161010086536407,0.8138888888888889,0.8110158750477092,1.0966988801956177
cnn,rotation,202,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9555555555555556,0.19466522336006165,37,55,1990,1.1073897979999856,0.9555555555555556,0.9554283421781351,0.14904610812664032,0.8138888888888889,0.8171779860419808,1.1776186227798462
cnn,rotation,203,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9555555555555556,0.18032053112983704,27,45,1990,0.9504398580002089,0.9388888888888889,0.9380465013923711,0.22939516603946686,0.8277777777777777,0.8269017824772178,1.0176304578781128
cnn,rotation,204,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9583333333333334,0.17086830735206604,24,42,1990,0.8752832670002135,0.9694444444444444,0.9692414113181028,0.11865779012441635,0.7333333333333333,0.7421239276551059,1.6485793590545654
cnn,rotation,205,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9611111111111111,0.135897696018219,30,48,1990,0.963709690000087,0.9583333333333334,0.9578637541066977,0.14832033216953278,0.8027777777777778,0.8105750178508089,1.08966064453125
