architecture,scenario,pilot_seed,method_id,method,implementation,allocation,learning_rate,lora_plus_ratio,validation_accuracy,validation_nll,best_epoch,epochs_ran,trainable_parameters,train_seconds
cnn,contrast,11,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.2638888888888889,1.909273624420166,0,0,0,0.0
cnn,contrast,22,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.2638888888888889,1.909273624420166,0,0,0,0.0
cnn,contrast,33,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.2638888888888889,1.909273624420166,0,0,0,0.0
cnn,contrast,44,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.2638888888888889,1.909273624420166,0,0,0,0.0
cnn,contrast,55,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.2638888888888889,1.909273624420166,0,0,0,0.0
cnn,contrast,11,magnitude,Magnitude-only,magnitude,0-0-0-0,0.003,1.0,0.975,0.09920268505811691,102,120,122,2.105219186999875
cnn,contrast,22,magnitude,Magnitude-only,magnitude,0-0-0-0,0.003,1.0,0.975,0.1713409274816513,48,66,122,1.0910011920000215
cnn,contrast,33,magnitude,Magnitude-only,magnitude,0-0-0-0,0.003,1.0,0.9722222222222222,0.12452369183301926,63,81,122,1.3978885309998077
cnn,contrast,44,magnitude,Magnitude-only,magnitude,0-0-0-0,0.003,1.0,0.9777777777777777,0.09249727427959442,120,120,122,2.0970139000000927
cnn,contrast,55,magnitude,Magnitude-only,magnitude,0-0-0-0,0.003,1.0,0.9777777777777777,0.09238538891077042,120,120,122,2.203988137000124
cnn,contrast,11,magnitude,Magnitude-only,magnitude,0-0-0-0,0.01,1.0,0.9777777777777777,0.091734878718853,46,64,122,1.152859663000072
cnn,contrast,22,magnitude,Magnitude-only,magnitude,0-0-0-0,0.01,1.0,0.9805555555555555,0.0864783525466919,63,81,122,1.455527856000117
cnn,contrast,33,magnitude,Magnitude-only,magnitude,0-0-0-0,0.01,1.0,0.9777777777777777,0.08613919466733932,55,73,122,1.2747104740001305
cnn,contrast,44,magnitude,Magnitude-only,magnitude,0-0-0-0,0.01,1.0,0.9833333333333333,0.08303327858448029,107,120,122,2.2566117149999627
cnn,contrast,55,magnitude,Magnitude-only,magnitude,0-0-0-0,0.01,1.0,0.9805555555555555,0.08677902817726135,63,81,122,1.3400350510000862
cnn,contrast,11,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.9777777777777777,0.09154176712036133,17,35,122,0.640122510999845
cnn,contrast,22,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.9777777777777777,0.08745016157627106,16,34,122,0.5541903670000465
cnn,contrast,33,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.9805555555555555,0.09088929742574692,10,28,122,0.4825305350000235
cnn,contrast,44,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.9833333333333333,0.08263424783945084,26,44,122,0.7073667999998179
cnn,contrast,55,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.9833333333333333,0.0866517722606659,22,40,122,0.6870524470000419
cnn,contrast,11,lora,LoRA,lora,4-4-4-4,0.003,1.0,0.9611111111111111,0.16038911044597626,53,71,1868,1.2729301760000453
cnn,contrast,22,lora,LoRA,lora,4-4-4-4,0.003,1.0,0.9611111111111111,0.48530179262161255,9,27,1868,0.5125492920001307
cnn,contrast,33,lora,LoRA,lora,4-4-4-4,0.003,1.0,0.9583333333333334,0.4701598286628723,10,28,1868,0.5587883359999068
cnn,contrast,44,lora,LoRA,lora,4-4-4-4,0.003,1.0,0.9583333333333334,0.22025014460086823,23,41,1868,0.7656731170000057
cnn,contrast,55,lora,LoRA,lora,4-4-4-4,0.003,1.0,0.9444444444444444,0.41126641631126404,11,29,1868,0.5623847339998065
cnn,contrast,11,lora,LoRA,lora,4-4-4-4,0.01,1.0,0.9666666666666667,0.14581725001335144,32,50,1868,0.9823749339998358
cnn,contrast,22,lora,LoRA,lora,4-4-4-4,0.01,1.0,0.9638888888888889,0.14472420513629913,40,58,1868,1.1236804489999486
cnn,contrast,33,lora,LoRA,lora,4-4-4-4,0.01,1.0,0.95,0.17084291577339172,13,31,1868,0.6304341220002243
cnn,contrast,44,lora,LoRA,lora,4-4-4-4,0.01,1.0,0.95,0.21466198563575745,9,27,1868,0.4853775960000348
cnn,contrast,55,lora,LoRA,lora,4-4-4-4,0.01,1.0,0.9472222222222222,0.16859929263591766,30,48,1868,0.9255339139999705
cnn,contrast,11,lora,LoRA,lora,4-4-4-4,0.03,1.0,0.9611111111111111,0.13077980279922485,16,34,1868,0.6338095129999601
cnn,contrast,22,lora,LoRA,lora,4-4-4-4,0.03,1.0,0.9638888888888889,0.12053881585597992,16,34,1868,0.6345582009998907
cnn,contrast,33,lora,LoRA,lora,4-4-4-4,0.03,1.0,0.9583333333333334,0.1563815176486969,22,40,1868,0.7357497039997725
cnn,contrast,44,lora,LoRA,lora,4-4-4-4,0.03,1.0,0.9527777777777777,0.15408511459827423,31,49,1868,1.0830730580000818
