architecture,scenario,method_id,method,implementation,allocation,learning_rate,lora_plus_ratio,trainable_parameters,validation_accuracy_mean,validation_accuracy_std,validation_nll_mean,best_epoch_mean,train_seconds_sum,n_pilot_seeds
cnn,contrast,dora,DoRA,dora,4-4-4-4,0.003,1.0,1990,0.9594444444444445,0.001521451548625451,0.2982806384563446,21.0,4.137189319000299,5
cnn,contrast,dora,DoRA,dora,4-4-4-4,0.01,1.0,1990,0.9533333333333334,0.006022078719077439,0.20950356423854827,15.8,3.7538137119995554,5
cnn,contrast,dora,DoRA,dora,4-4-4-4,0.03,1.0,1990,0.9605555555555556,0.00770802051417314,0.15864357352256775,23.4,4.574805230000493,5
cnn,contrast,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0,0.2638888888888889,0.0,1.909273624420166,0.0,0.0,5
cnn,contrast,full,Full fine-tuning,full,0-0-0-0,0.0001,1.0,13706,0.9705555555555556,0.002484519974999762,0.5053722381591796,63.6,6.827598807999948,5
cnn,contrast,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,13706,0.971111111111111,0.005414885747116074,0.38701898157596587,44.2,5.34863226600055,5
cnn,contrast,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,13706,0.97,0.006334307917217403,0.26507260501384733,24.0,3.6497722799995245,5
cnn,contrast,lora,LoRA,lora,4-4-4-4,0.003,1.0,1868,0.9566666666666667,0.006972166887783984,0.3494734585285187,21.2,3.672325654999895,5
cnn,contrast,lora,LoRA,lora,4-4-4-4,0.01,1.0,1868,0.9555555555555555,0.00900102874778869,0.16892912983894348,24.8,4.147401015000014,5
cnn,contrast,lora,LoRA,lora,4-4-4-4,0.03,1.0,1868,0.9594444444444445,0.004212708580028675,0.14636799693107605,23.4,4.24523876999956,5
cnn,contrast,lora_plus,LoRA+,lora_plus,4-4-4-4,0.0003,16.0,1868,0.9622222222222222,0.007243558228002948,0.4045677840709686,25.0,4.94756950700048,5
cnn,contrast,lora_plus,LoRA+,lora_plus,4-4-4-4,0.001,16.0,1868,0.96,0.005760122598146574,0.2873283356428146,19.0,3.665209754999978,5
cnn,contrast,lora_plus,LoRA+,lora_plus,4-4-4-4,0.003,16.0,1868,0.9588888888888889,0.00602207871907744,0.13904653191566468,23.2,3.9134813720002057,5
cnn,contrast,magnitude,Magnitude-only,magnitude,0-0-0-0,0.003,1.0,122,0.9755555555555555,0.002324055629261316,0.11598999351263047,90.6,8.895110946999921,5
