architecture,scenario,method_id,method,implementation,allocation,learning_rate,lora_plus_ratio,trainable_parameters,validation_accuracy_mean,validation_accuracy_std,validation_nll_mean,best_epoch_mean,train_seconds_sum,n_pilot_seeds
cnn,contrast,dora,DoRA,dora,4-4-4-4,0.03,1.0,1990,0.9605555555555556,0.00770802051417314,0.15864357352256775,23.4,4.574805230000493,5
cnn,contrast,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0,0.2638888888888889,0.0,1.909273624420166,0.0,0.0,5
cnn,contrast,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,13706,0.971111111111111,0.005414885747116074,0.38701898157596587,44.2,5.34863226600055,5
cnn,contrast,lora,LoRA,lora,4-4-4-4,0.03,1.0,1868,0.9594444444444445,0.004212708580028675,0.14636799693107605,23.4,4.24523876999956,5
cnn,contrast,lora_plus,LoRA+,lora_plus,4-4-4-4,0.0003,16.0,1868,0.9622222222222222,0.007243558228002948,0.4045677840709686,25.0,4.94756950700048,5
cnn,contrast,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,122,0.9805555555555555,0.0027777777777777783,0.0878334492444992,18.2,3.0712626599997748,5
cnn,mixed,dora,DoRA,dora,4-4-4-4,0.01,1.0,1990,0.8311111111111111,0.00908634846322008,0.6063629031181336,22.8,4.401593361999858,5
cnn,mixed,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0,0.6027777777777777,0.0,1.756246566772461,0.0,0.0,5
cnn,mixed,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,13706,0.8266666666666665,0.005760122598146616,0.6090194821357727,39.4,4.692321219000405,5
cnn,mixed,lora,LoRA,lora,4-4-4-4,0.01,1.0,1868,0.8238888888888889,0.005046083923495829,0.6795161128044128,30.8,4.820830183000453,5
cnn,mixed,lora_plus,LoRA+,lora_plus,4-4-4-4,0.001,16.0,1868,0.8183333333333334,0.0042127085800286275,0.6628279566764832,40.8,5.921725385999707,5
cnn,mixed,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,122,0.7572222222222222,0.015035965114138173,0.7581555485725403,49.8,5.872451112999897,5
cnn,rotation,dora,DoRA,dora,4-4-4-4,0.03,1.0,1990,0.9505555555555556,0.00719009950308044,0.19784307181835176,28.0,5.273627625999325,5
cnn,rotation,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0,0.6083333333333333,0.0,2.488429546356201,0.0,0.0,5
cnn,rotation,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,13706,0.9433333333333334,0.004648111258522636,0.2429517924785614,95.6,9.617277333999937,5
cnn,rotation,lora,LoRA,lora,4-4-4-4,0.03,1.0,1868,0.9566666666666667,0.012969575033254188,0.21440456807613373,35.0,5.081038278000051,5
cnn,rotation,lora_plus,LoRA+,lora_plus,4-4-4-4,0.003,16.0,1868,0.945,0.009296222517045281,0.22106729149818422,32.4,4.89959216599982,5
cnn,rotation,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,122,0.8955555555555555,0.012819978621349254,0.5298317849636078,71.0,7.726715210000293,5
