architecture,scenario,seed,method_id,method,implementation,allocation,selected_learning_rate,lora_plus_ratio,validation_accuracy,validation_nll,best_epoch,epochs_ran,trainable_parameters,train_seconds,target_accuracy,target_macro_f1,target_nll,clean_accuracy,clean_macro_f1,clean_nll
mlp,contrast,101,dora,DoRA,dora,4-4-4,0.003,1.0,0.9472222222222222,0.595669150352478,8,26,2034,0.3127228049997939,0.9527777777777777,0.953005838518392,0.6242331266403198,0.7416666666666667,0.7592723248578004,2.4459011554718018
mlp,contrast,102,dora,DoRA,dora,4-4-4,0.003,1.0,0.95,0.4877891540527344,12,30,2034,0.35654930200007584,0.95,0.9496200463113542,0.4990399181842804,0.8194444444444444,0.8140595697433881,1.6543976068496704
mlp,contrast,103,dora,DoRA,dora,4-4-4,0.003,1.0,0.9555555555555556,0.6061880588531494,8,26,2034,0.3045821509999769,0.9444444444444444,0.9440227039990866,0.6315034031867981,0.7861111111111111,0.7871072054756236,1.7823593616485596
mlp,contrast,104,dora,DoRA,dora,4-4-4,0.003,1.0,0.95,0.5397961735725403,9,27,2034,0.32743128399988564,0.9416666666666667,0.9420874700598212,0.5682526230812073,0.8416666666666667,0.8422684278906167,1.2131373882293701
mlp,contrast,105,dora,DoRA,dora,4-4-4,0.003,1.0,0.9527777777777777,0.49880561232566833,10,28,2034,0.32946187400011695,0.9611111111111111,0.9612798201568763,0.5227855443954468,0.7333333333333333,0.7540942706089712,2.7158610820770264
mlp,contrast,106,dora,DoRA,dora,4-4-4,0.003,1.0,0.9527777777777777,0.6364932060241699,7,25,2034,0.2952382930002386,0.9611111111111111,0.961009530311479,0.6655479669570923,0.7611111111111111,0.7721994513206052,2.0431509017944336
mlp,contrast,107,dora,DoRA,dora,4-4-4,0.003,1.0,0.9555555555555556,0.3735330402851105,17,35,2034,0.4184534139999414,0.9611111111111111,0.9609654565286665,0.39412158727645874,0.7222222222222222,0.7303277812207083,2.8963887691497803
mlp,contrast,108,dora,DoRA,dora,4-4-4,0.003,1.0,0.9527777777777777,0.7782973647117615,5,23,2034,0.2700634159996298,0.9333333333333333,0.9330543257265618,0.8114830851554871,0.8277777777777777,0.8363994695365999,1.4404430389404297
mlp,contrast,109,dora,DoRA,dora,4-4-4,0.003,1.0,0.9527777777777777,0.783618152141571,5,23,2034,0.2731937419998758,0.9527777777777777,0.952928906424451,0.8114152550697327,0.825,0.8296933851550617,1.4670555591583252
mlp,contrast,110,dora,DoRA,dora,4-4-4,0.003,1.0,0.9583333333333334,0.6930122375488281,6,24,2034,0.2992746840000109,0.9611111111111111,0.9609980241795386,0.7185044884681702,0.8388888888888889,0.8375928470372477,1.2906196117401123
mlp,contrast,111,dora,DoRA,dora,4-4-4,0.003,1.0,0.9583333333333334,0.9211969375610352,3,21,2034,0.25161525300018184,0.9527777777777777,0.9521922102425672,0.9465871453285217,0.85,0.847598129831159,1.1579104661941528
mlp,contrast,112,dora,DoRA,dora,4-4-4,0.003,1.0,0.9583333333333334,0.30349186062812805,30,48,2034,0.5792188979999082,0.9388888888888889,0.9389566116503344,0.3241603970527649,0.7972222222222223,0.7936173310247004,2.177036762237549
mlp,contrast,113,dora,DoRA,dora,4-4-4,0.003,1.0,0.9527777777777777,0.4330886900424957,13,31,2034,0.376089951999802,0.9555555555555556,0.9556665114326928,0.46169349551200867,0.725,0.7293767545088983,2.5644993782043457
mlp,contrast,114,dora,DoRA,dora,4-4-4,0.003,1.0,0.9527777777777777,0.772281289100647,5,23,2034,0.2807786959997429,0.9527777777777777,0.9527003007902156,0.7981746196746826,0.8361111111111111,0.8423206409432276,1.4480726718902588
mlp,contrast,115,dora,DoRA,dora,4-4-4,0.003,1.0,0.9583333333333334,0.5856256484985352,8,26,2034,0.32089149000012185,0.9611111111111111,0.9608989128446972,0.6196261048316956,0.7638888888888888,0.7800385626945385,2.062786102294922
mlp,contrast,116,dora,DoRA,dora,4-4-4,0.003,1.0,0.9611111111111111,0.5350870490074158,9,27,2034,0.34421115299983285,0.9527777777777777,0.9526719348612076,0.5666042566299438,0.8611111111111112,0.857300601912887,1.2109706401824951
mlp,contrast,117,dora,DoRA,dora,4-4-4,0.003,1.0,0.9527777777777777,0.606779158115387,8,26,2034,0.3176972780001961,0.95,0.9502558041601968,0.6319907903671265,0.7166666666666667,0.7356637860434287,2.5949759483337402
mlp,contrast,118,dora,DoRA,dora,4-4-4,0.003,1.0,0.9527777777777777,0.37468838691711426,20,38,2034,0.46456062900006145,0.9444444444444444,0.9442099257064294,0.3946518003940582,0.6833333333333333,0.6899204866400933,3.3146755695343018
mlp,contrast,119,dora,DoRA,dora,4-4-4,0.003,1.0,0.95,0.37168002128601074,19,37,2034,0.443545087000075,0.95,0.9498084978669583,0.409532755613327,0.8027777777777778,0.8009733430424102,2.0909247398376465
mlp,contrast,120,dora,DoRA,dora,4-4-4,0.003,1.0,0.9444444444444444,0.5916978716850281,8,26,2034,0.31485630699989997,0.9583333333333334,0.958404410609873,0.6209198832511902,0.7611111111111111,0.7722657706033664,1.8763973712921143
mlp,contrast,101,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.003,1.0,0.9555555555555556,0.9413350224494934,3,21,1798,0.26239552000015465,0.9611111111111111,0.960963677780579,0.9656854271888733,0.8305555555555556,0.8346404845810922,1.2689040899276733
mlp,contrast,102,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.003,1.0,0.95,0.4981229603290558,12,30,1798,0.4471626780000406,0.9583333333333334,0.9581015823958051,0.5186030268669128,0.7916666666666666,0.7986830034490604,1.9507571458816528
mlp,contrast,103,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.003,1.0,0.9555555555555556,0.45852598547935486,13,31,1798,0.45186505200035754,0.9527777777777777,0.9524653550886581,0.4830761253833771,0.7861111111111111,0.7795995466418738,2.1680963039398193
mlp,contrast,104,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.003,1.0,0.95,0.5639255046844482,9,27,1798,0.38393631200005984,0.9416666666666667,0.9418832199398613,0.5911808013916016,0.8805555555555555,0.8801526737796855,0.8329398036003113
mlp,contrast,105,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.003,1.0,0.9555555555555556,0.60648512840271,8,26,1798,0.377387735999946,0.9694444444444444,0.9694385783342799,0.6306853294372559,0.7138888888888889,0.7317144579557449,2.749037742614746
mlp,contrast,106,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.003,1.0,0.9527777777777777,0.43728819489479065,13,31,1798,0.45339420600021185,0.95,0.9506322709081945,0.46978116035461426,0.7611111111111111,0.7743005747131989,2.3160908222198486
mlp,contrast,107,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.003,1.0,0.9555555555555556,0.5338313579559326,10,28,1798,0.3445387070000834,0.9611111111111111,0.9606710321641827,0.5555821657180786,0.7027777777777777,0.7149481902890098,2.67164945602417
