architecture,scenario,method_id,method,allocation,selected_learning_rate,trainable_parameters,target_accuracy_mean,target_accuracy_std,target_macro_f1_mean,target_nll_mean,clean_accuracy_mean,validation_accuracy_mean,best_epoch_mean,train_seconds_sum,n_seeds
mlp,contrast,dora,DoRA,4-4-4,0.003,2034,0.9518055555555556,0.008024238378778034,0.95173686211907,0.6010414123535156,0.7847222222222222,0.9534722222222222,10.5,6.880435707999368,20
mlp,contrast,dora_budgeted,DoRA (LoRA-budget ceiling),3-3-6,0.003,1798,0.9566666666666667,0.005937184723683867,0.956577773784564,0.6128360435366631,0.7868055555555555,0.9534722222222222,9.35,7.043263437001315,20
mlp,contrast,frozen,Frozen,0-0-0,0.0,0,0.775,0.0,0.7329448733881521,1.2232364416122437,0.975,0.7722222222222223,0.0,0.0,20
mlp,contrast,full,Full fine-tuning,0-0-0,0.001,17226,0.9606944444444444,0.005996736712752969,0.960761624034778,0.3055210031569004,0.93,0.95875,29.0,8.291396439999971,20
mlp,contrast,lora,LoRA,4-4-4,0.003,1832,0.95375,0.008842854113683761,0.9535986535826615,0.6692984573543072,0.7826388888888889,0.9529166666666666,11.75,5.892850016000011,20
mlp,contrast,lora_matched,LoRA (DoRA-matched budget),5-4-4,0.003,2024,0.9475,0.009991061632309698,0.9472785855987432,0.6215926766395569,0.7831944444444445,0.9516666666666665,12.5,6.183891776000564,20
mlp,contrast,lora_plus,LoRA+,4-4-4,0.0003,1832,0.9588888888888889,0.0074098436539483436,0.9587624614482303,0.9046726554632187,0.8543055555555557,0.9547222222222222,8.35,6.118390700999953,20
mlp,contrast,magnitude,Magnitude-only,0-0-0,0.03,202,0.9690277777777778,0.0022575769469090267,0.9689622351551165,0.10664229840040207,0.9081944444444444,0.9668055555555556,15.7,6.386919646000479,20
mlp,mixed,dora,DoRA,4-4-4,0.03,2034,0.7522222222222222,0.019383781729890755,0.7494241816249809,0.795535558462143,0.7619444444444444,0.7754166666666666,18.3,27.526333485000578,20
mlp,mixed,dora_budgeted,DoRA (LoRA-budget ceiling),4-3-3,0.03,1768,0.7498611111111111,0.020080956197834905,0.7438989033677063,0.79324751496315,0.7613888888888889,0.7745833333333334,17.15,8.259009337000407,20
mlp,mixed,frozen,Frozen,0-0-0,0.0,0,0.5083333333333333,0.0,0.5026981153315153,3.1546669006347656,0.975,0.4805555555555555,0.0,0.0,20
mlp,mixed,full,Full fine-tuning,0-0-0,0.001,17226,0.7516666666666667,0.0168701034336944,0.7491858984743288,0.8591833919286728,0.8604166666666666,0.7756944444444445,77.85,17.14373431399963,20
mlp,mixed,lora,LoRA,4-4-4,0.03,1832,0.7416666666666667,0.022746019794773413,0.7381913189785638,1.0785928457975387,0.7698611111111111,0.7672222222222222,23.6,7.998524663998978,20
mlp,mixed,lora_matched,LoRA (DoRA-matched budget),5-4-4,0.03,2024,0.7469444444444444,0.018157047187610086,0.7438939367699576,1.0353873074054718,0.7777777777777778,0.77,18.95,7.310847088999253,20
mlp,mixed,lora_plus,LoRA+,4-4-4,0.003,1832,0.7379166666666667,0.025717055800855756,0.7350886479534303,1.012715858221054,0.7990277777777778,0.7611111111111111,31.5,10.04351944299924,20
mlp,mixed,magnitude,Magnitude-only,0-0-0,0.03,202,0.6616666666666666,0.016010474154473764,0.652979279543555,1.0270566582679748,0.9084722222222222,0.6947222222222222,88.4,18.47510329400029,20
mlp,rotation,dora,DoRA,4-4-4,0.03,2034,0.9388888888888889,0.011819522182109765,0.9384568689701457,0.20439647063612937,0.6676388888888889,0.9420833333333333,36.7,13.072396480000407,20
mlp,rotation,dora_budgeted,DoRA (LoRA-budget ceiling),3-4-3,0.03,1768,0.9343055555555555,0.01044319234749399,0.9338582297707626,0.21265034079551698,0.6931944444444444,0.9394444444444444,30.5,11.82982181899979,20
mlp,rotation,frozen,Frozen,0-0-0,0.0,0,0.5166666666666667,0.0,0.5047112152542345,3.822019100189209,0.975,0.5111111111111111,0.0,0.0,20
mlp,rotation,full,Full fine-tuning,0-0-0,0.001,17226,0.9290277777777778,0.007565771816800028,0.9288140942246844,0.24375060573220253,0.7447222222222222,0.9313888888888888,100.25,19.85164997900074,20
mlp,rotation,lora,LoRA,4-4-4,0.03,1832,0.9347222222222221,0.012007010081536339,0.9344472068976615,0.25898761600255965,0.7140277777777777,0.93625,25.55,9.294070185002056,20
mlp,rotation,lora_matched,LoRA (DoRA-matched budget),5-4-4,0.03,2024,0.9388888888888889,0.008111071056538112,0.9386453012365668,0.24005921855568885,0.7081944444444445,0.9419444444444445,29.1,10.40164552700071,20
mlp,rotation,lora_plus,LoRA+,4-4-4,0.003,1832,0.9238888888888889,0.014175407233671132,0.9234798372853733,0.2942755937576294,0.6915277777777777,0.9344444444444445,41.5,15.854727629000536,20
mlp,rotation,magnitude,Magnitude-only,0-0-0,0.03,202,0.8556944444444443,0.021750755254152817,0.8538960858975173,0.4417551070451736,0.81375,0.8606944444444444,105.45,19.818826946999707,20
