architecture,scenario,pilot_seed,method_id,method,implementation,allocation,learning_rate,lora_plus_ratio,validation_accuracy,validation_nll,best_epoch,epochs_ran,trainable_parameters,train_seconds
mlp,contrast,11,frozen,Frozen,frozen,0-0-0,0.0,1.0,0.7722222222222223,1.2006503343582153,0,0,0,0.0
mlp,contrast,22,frozen,Frozen,frozen,0-0-0,0.0,1.0,0.7722222222222223,1.2006503343582153,0,0,0,0.0
mlp,contrast,33,frozen,Frozen,frozen,0-0-0,0.0,1.0,0.7722222222222223,1.2006503343582153,0,0,0,0.0
mlp,contrast,44,frozen,Frozen,frozen,0-0-0,0.0,1.0,0.7722222222222223,1.2006503343582153,0,0,0,0.0
mlp,contrast,55,frozen,Frozen,frozen,0-0-0,0.0,1.0,0.7722222222222223,1.2006503343582153,0,0,0,0.0
mlp,contrast,11,magnitude,Magnitude-only,magnitude,0-0-0,0.003,1.0,0.9611111111111111,0.17154791951179504,63,81,202,0.7248483600001236
mlp,contrast,22,magnitude,Magnitude-only,magnitude,0-0-0,0.003,1.0,0.9638888888888889,0.1250842809677124,120,120,202,1.121651565999855
mlp,contrast,33,magnitude,Magnitude-only,magnitude,0-0-0,0.003,1.0,0.9666666666666667,0.12095795571804047,120,120,202,1.101389145999974
mlp,contrast,44,magnitude,Magnitude-only,magnitude,0-0-0,0.003,1.0,0.9638888888888889,0.21559156477451324,50,68,202,0.6229674080000223
mlp,contrast,55,magnitude,Magnitude-only,magnitude,0-0-0,0.003,1.0,0.9611111111111111,0.17414531111717224,64,82,202,0.7539879119999569
mlp,contrast,11,magnitude,Magnitude-only,magnitude,0-0-0,0.01,1.0,0.9611111111111111,0.1782141774892807,17,35,202,0.32110220999993544
mlp,contrast,22,magnitude,Magnitude-only,magnitude,0-0-0,0.01,1.0,0.9666666666666667,0.11951890587806702,70,88,202,0.8257556470000509
mlp,contrast,33,magnitude,Magnitude-only,magnitude,0-0-0,0.01,1.0,0.9666666666666667,0.11656017601490021,49,67,202,0.6153647039998305
mlp,contrast,44,magnitude,Magnitude-only,magnitude,0-0-0,0.01,1.0,0.9694444444444444,0.11752615869045258,57,75,202,0.6776613090000865
mlp,contrast,55,magnitude,Magnitude-only,magnitude,0-0-0,0.01,1.0,0.9638888888888889,0.12172941863536835,61,79,202,0.7139200009999058
mlp,contrast,11,magnitude,Magnitude-only,magnitude,0-0-0,0.03,1.0,0.9666666666666667,0.11856778711080551,18,36,202,0.3197376230000373
mlp,contrast,22,magnitude,Magnitude-only,magnitude,0-0-0,0.03,1.0,0.9694444444444444,0.11884378641843796,11,29,202,0.25905833199999506
mlp,contrast,33,magnitude,Magnitude-only,magnitude,0-0-0,0.03,1.0,0.9694444444444444,0.12083984166383743,21,39,202,0.3456966530000045
mlp,contrast,44,magnitude,Magnitude-only,magnitude,0-0-0,0.03,1.0,0.9694444444444444,0.11900824308395386,22,40,202,0.36659342600000855
mlp,contrast,55,magnitude,Magnitude-only,magnitude,0-0-0,0.03,1.0,0.9666666666666667,0.12129836529493332,15,33,202,0.30371516199988946
mlp,contrast,11,lora,LoRA,lora,4-4-4,0.003,1.0,0.9527777777777777,0.9130020141601562,5,23,1832,0.24444943200001035
mlp,contrast,22,lora,LoRA,lora,4-4-4,0.003,1.0,0.9527777777777777,0.467096209526062,14,32,1832,0.34328632099982315
mlp,contrast,33,lora,LoRA,lora,4-4-4,0.003,1.0,0.9527777777777777,0.5350106954574585,12,30,1832,0.3183213379998051
mlp,contrast,44,lora,LoRA,lora,4-4-4,0.003,1.0,0.95,0.8971172571182251,5,23,1832,0.2469601140001032
mlp,contrast,55,lora,LoRA,lora,4-4-4,0.003,1.0,0.95,0.6594557166099548,9,27,1832,0.28301733900002546
