architecture,scenario,method_id,method,implementation,allocation,learning_rate,lora_plus_ratio,trainable_parameters,validation_accuracy_mean,validation_accuracy_std,validation_nll_mean,best_epoch_mean,train_seconds_sum,n_pilot_seeds
mlp,contrast,dora,DoRA,dora,4-4-4,0.003,1.0,2034,0.9527777777777778,0.004392052305789426,0.5002152144908905,11.2,1.8393911829998615,5
mlp,contrast,dora,DoRA,dora,4-4-4,0.01,1.0,2034,0.95,0.003928371006591947,0.5881625890731812,3.8,1.6209222020002017,5
mlp,contrast,dora,DoRA,dora,4-4-4,0.03,1.0,2034,0.9377777777777778,0.006394924685122948,0.38394654393196104,5.0,1.5735181529998954,5
mlp,contrast,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.003,1.0,1798,0.953888888888889,0.0037267799624996958,0.5319059610366821,11.8,1.8852818810000826,5
mlp,contrast,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.01,1.0,1798,0.9516666666666665,0.005414885747116106,0.5265921920537948,6.2,1.6493679049999628,5
mlp,contrast,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.03,1.0,1798,0.9372222222222222,0.008471083712209376,0.271131631731987,12.8,2.084732522999957,5
mlp,contrast,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.003,1.0,1768,0.9522222222222222,0.0036217791140014804,0.5818954527378082,11.2,1.7764099979997354,5
mlp,contrast,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.01,1.0,1768,0.95,0.0055555555555555705,0.5482619643211365,6.0,1.4578822239998317,5
mlp,contrast,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.03,1.0,1768,0.9394444444444444,0.010092167846991592,0.2949328482151031,6.4,1.4641079810000974,5
mlp,contrast,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.003,1.0,1768,0.9522222222222222,0.00412011027060872,0.5018070697784424,11.6,1.8185669879997022,5
mlp,contrast,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.01,1.0,1768,0.9516666666666665,0.0057601225981466185,0.6389146149158478,3.4,1.324553867000077,5
mlp,contrast,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,1768,0.9388888888888889,0.011111111111111072,0.36520273685455323,7.6,1.6028104800000165,5
mlp,contrast,frozen,Frozen,frozen,0-0-0,0.0,1.0,0,0.7722222222222223,0.0,1.2006503343582153,0.0,0.0,5
mlp,contrast,full,Full fine-tuning,full,0-0-0,0.0001,1.0,17226,0.9583333333333334,0.003402069087198905,0.8495103597640992,26.2,2.114337136000131,5
mlp,contrast,full,Full fine-tuning,full,0-0-0,0.0003,1.0,17226,0.9577777777777777,0.004120110270608728,0.782377016544342,11.2,1.3351662730003682,5
mlp,contrast,full,Full fine-tuning,full,0-0-0,0.001,1.0,17226,0.9583333333333334,0.002777777777777768,0.3683391481637955,21.0,1.791807474000052,5
mlp,contrast,lora,LoRA,lora,4-4-4,0.003,1.0,1832,0.9516666666666665,0.0015214515486254637,0.6943363785743714,9.0,1.4360345439997673,5
mlp,contrast,lora,LoRA,lora,4-4-4,0.01,1.0,1832,0.9472222222222222,0.007081971546656661,0.679971331357956,6.2,1.2539946209994923,5
mlp,contrast,lora,LoRA,lora,4-4-4,0.03,1.0,1832,0.9388888888888889,0.009001028747788674,0.3688120782375336,20.6,2.1045509529999435,5
mlp,contrast,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.003,1.0,1980,0.9522222222222222,0.00412011027060872,0.6334297239780426,9.0,1.7723796800003129,5
mlp,contrast,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.01,1.0,1980,0.945,0.0071900995030804065,0.6370666682720184,4.0,1.2772525880000103,5
mlp,contrast,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.03,1.0,1980,0.9405555555555555,0.010865337342004374,0.25857020616531373,25.0,2.2470831639998323,5
mlp,contrast,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.003,1.0,2024,0.9511111111111111,0.003726779962499637,0.6021153688430786,10.2,1.4738007949999883,5
mlp,contrast,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.01,1.0,2024,0.9477777777777778,0.0049690399499995146,0.7282467961311341,3.0,1.12147615400022,5
mlp,contrast,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.03,1.0,2024,0.9411111111111111,0.009086348463220085,0.4385917127132416,15.2,2.054846118000114,5
