scenario,seed,method,rank,selected_learning_rate,validation_accuracy,validation_nll,best_epoch,epochs_ran,trainable_parameters,target_accuracy,target_macro_f1,target_nll,clean_accuracy,clean_macro_f1
contrast,11,Frozen,0,0.0,0.7722222222222223,1.200650383455061,0,0,0,0.775,0.7329448733881521,1.2232364796395894,0.975,0.9750206860286077
contrast,11,Magnitude-only,0,0.03,0.9638888888888889,0.12037078130449494,11,29,202,0.9694444444444444,0.9693462518210314,0.10910758768998213,0.8972222222222223,0.9016377762102149
contrast,11,Full fine-tuning,0,0.0001,0.9583333333333334,0.9160236327263036,18,36,17226,0.9694444444444444,0.9693493405744578,0.9402810499834522,0.9305555555555556,0.9300530726256186
contrast,11,LoRA,1,0.01,0.9527777777777777,0.6935515212781922,6,24,458,0.95,0.950038343656427,0.7201661634137467,0.8083333333333333,0.8019470075921689
contrast,11,LoRA,2,0.003,0.9527777777777777,1.0059914969498251,4,22,916,0.95,0.9497190502779185,1.0295709699859519,0.8083333333333333,0.8183405627067367
contrast,11,LoRA,4,0.03,0.95,0.2364804837170375,17,35,1832,0.9333333333333333,0.9330687949374493,0.18389325035699894,0.8611111111111112,0.8639195482773596
contrast,11,LoRA,8,0.01,0.9527777777777777,0.2240575743333873,31,49,3664,0.9361111111111111,0.9353153911916404,0.15947759286823612,0.9,0.8981135017027612
contrast,11,DoRA,1,0.03,0.9611111111111111,0.2857658779135065,3,21,660,0.9472222222222222,0.9472293556143108,0.32349095019574015,0.9083333333333333,0.9057980055822308
contrast,11,DoRA,2,0.01,0.9611111111111111,0.18559931978035202,24,42,1118,0.9583333333333334,0.9584113786836577,0.19281952242656225,0.7694444444444445,0.7765636475286042
contrast,11,DoRA,4,0.01,0.95,0.4615043942736415,4,22,2034,0.9583333333333334,0.9582170605615479,0.473927900692449,0.8305555555555556,0.8362739373812828
contrast,11,DoRA,8,0.003,0.9527777777777777,0.6553380508224038,6,24,3866,0.9694444444444444,0.9693617601087061,0.6774734018926144,0.75,0.7617105861769634
contrast,22,Frozen,0,0.0,0.7722222222222223,1.200650383455061,0,0,0,0.775,0.7329448733881521,1.2232364796395894,0.975,0.9750206860286077
