scenario,seed,rank,DoRA,LoRA,dora_minus_lora_pp
contrast,11,1,0.9472222222222222,0.95,-0.2777777777777768
contrast,11,2,0.9583333333333334,0.95,0.8333333333333415
contrast,11,4,0.9583333333333334,0.9333333333333332,2.5000000000000133
contrast,11,8,0.9694444444444444,0.9361111111111112,3.3333333333333215
contrast,22,1,0.9666666666666668,0.9555555555555556,1.1111111111111183
contrast,22,2,0.9388888888888888,0.9472222222222222,-0.8333333333333415
contrast,22,4,0.9472222222222222,0.9444444444444444,0.2777777777777768
contrast,22,8,0.9555555555555556,0.95,0.5555555555555647
contrast,33,1,0.9555555555555556,0.9555555555555556,0.0
contrast,33,2,0.9444444444444444,0.9388888888888888,0.5555555555555647
contrast,33,4,0.9305555555555556,0.9472222222222222,-1.6666666666666607
contrast,33,8,0.9472222222222222,0.9527777777777776,-0.5555555555555425
contrast,44,1,0.9666666666666668,0.9444444444444444,2.2222222222222365
contrast,44,2,0.9638888888888888,0.9527777777777776,1.1111111111111183
contrast,44,4,0.9611111111111112,0.9555555555555556,0.5555555555555647
contrast,44,8,0.9583333333333334,0.9583333333333334,0.0
contrast,55,1,0.9416666666666668,0.9583333333333334,-1.6666666666666607
contrast,55,2,0.9666666666666668,0.9583333333333334,0.8333333333333415
contrast,55,4,0.9555555555555556,0.9555555555555556,0.0
contrast,55,8,0.9416666666666668,0.9416666666666668,0.0
mixed,11,1,0.7027777777777777,0.6444444444444445,5.833333333333323
mixed,11,2,0.7333333333333333,0.725,0.8333333333333304
mixed,11,4,0.7277777777777777,0.725,0.2777777777777768
mixed,11,8,0.7638888888888888,0.7555555555555555,0.8333333333333304
mixed,22,1,0.6888888888888889,0.6944444444444444,-0.5555555555555536
mixed,22,2,0.7527777777777778,0.7361111111111112,1.6666666666666607
mixed,22,4,0.7694444444444445,0.7444444444444445,2.500000000000002
mixed,22,8,0.7861111111111111,0.775,1.1111111111111072
mixed,33,1,0.7111111111111111,0.6777777777777778,3.3333333333333326
mixed,33,2,0.7055555555555556,0.7111111111111111,-0.5555555555555536
mixed,33,4,0.7444444444444445,0.7416666666666667,0.2777777777777768
mixed,33,8,0.7666666666666667,0.7472222222222222,1.9444444444444486
mixed,44,1,0.7277777777777777,0.7083333333333334,1.9444444444444375
mixed,44,2,0.7527777777777778,0.725,2.777777777777779
mixed,44,4,0.7722222222222223,0.7555555555555555,1.6666666666666718
mixed,44,8,0.7805555555555556,0.7416666666666667,3.888888888888886
mixed,55,1,0.7,0.6694444444444444,3.055555555555556
mixed,55,2,0.6972222222222222,0.7305555555555555,-3.3333333333333326
mixed,55,4,0.7222222222222222,0.7,2.2222222222222254
mixed,55,8,0.7694444444444445,0.7527777777777778,1.6666666666666718
rotation,11,1,0.9333333333333332,0.9305555555555556,0.2777777777777657
rotation,11,2,0.9444444444444444,0.9361111111111112,0.8333333333333193
rotation,11,4,0.95,0.9416666666666668,0.8333333333333193
rotation,11,8,0.9472222222222222,0.9472222222222222,0.0
rotation,22,1,0.925,0.9027777777777778,2.2222222222222254
rotation,22,2,0.9416666666666668,0.925,1.6666666666666718
rotation,22,4,0.9388888888888888,0.9277777777777778,1.111111111111096
rotation,22,8,0.9583333333333334,0.9611111111111112,-0.2777777777777879
rotation,33,1,0.9111111111111112,0.925,-1.388888888888884
rotation,33,2,0.9444444444444444,0.9277777777777778,1.6666666666666607
rotation,33,4,0.9388888888888888,0.9305555555555556,0.8333333333333193
rotation,33,8,0.9305555555555556,0.9305555555555556,0.0
rotation,44,1,0.8944444444444445,0.8833333333333333,1.1111111111111183
rotation,44,2,0.9222222222222224,0.9388888888888888,-1.6666666666666385
rotation,44,4,0.9444444444444444,0.9416666666666668,0.2777777777777657
rotation,44,8,0.9416666666666668,0.9527777777777776,-1.111111111111085
rotation,55,1,0.9222222222222224,0.9027777777777778,1.9444444444444597
rotation,55,2,0.9277777777777778,0.9277777777777778,0.0
rotation,55,4,0.925,0.9222222222222224,0.2777777777777657
rotation,55,8,0.9333333333333332,0.9388888888888888,-0.5555555555555536
