scenario,method,accuracy_mean_pct,accuracy_ci95_low_pct,accuracy_ci95_high_pct,trainable_parameters,n_seeds
contrast,DoRA,95.05555555555556,93.52469828434167,96.58641282676945,2034,5
contrast,Frozen,77.5,77.5,77.5,0,5
contrast,Full fine-tuning,96.38888888888891,95.84354356625626,96.93423421152157,17226,5
contrast,LoRA,94.72222222222221,93.57829622285155,95.86614822159288,1832,5
contrast,Magnitude-only,97.0,96.71143037953236,97.28856962046764,202,5
mixed,DoRA,74.72222222222223,71.85721227855399,77.58723216589047,2034,5
mixed,Frozen,50.83333333333333,50.83333333333333,50.83333333333333,0,5
mixed,Full fine-tuning,73.33333333333333,70.69530460159723,75.97136206506943,17226,5
mixed,LoRA,73.33333333333334,70.65058906557337,76.01607760109331,1832,5
mixed,Magnitude-only,65.88888888888889,63.31476653631165,68.46301124146612,202,5
rotation,DoRA,93.94444444444443,92.7901659625738,95.09872292631506,2034,5
rotation,Frozen,51.66666666666667,51.66666666666667,51.66666666666667,0,5
rotation,Full fine-tuning,93.22222222222223,91.61183678314282,94.83260766130164,17226,5
rotation,LoRA,93.27777777777779,92.20357207068106,94.35198348487451,1832,5
rotation,Magnitude-only,86.5,84.33779004053255,88.66220995946745,202,5

