seed,rank,magnitude_strength,DoRA construction,Frozen,Full fine-tuning,LoRA SVD oracle,Magnitude-only oracle,capacity_gap_log10
100,1,0.0,0.1961113810539245,0.3281802237033844,0.0,0.1984415799379348,0.3304601013660431,0.005129878031251117
100,1,0.2,0.1941196173429489,0.3512312173843384,0.0,0.2220987826585769,0.3323585391044616,0.058476751607875146
100,1,0.4,0.1914460361003875,0.4074423611164093,0.0,0.2892459034919739,0.3325239717960357,0.17922083818912854
100,1,0.6,0.1883704960346222,0.4787509143352508,0.0,0.3689437508583069,0.3311153650283813,0.29194727729183634
100,1,0.8,0.1851924508810043,0.5516313910484314,0.0,0.4455249905586242,0.3285006880760193,0.38124879038734866
100,2,0.0,0.1397660970687866,0.3281802237033844,0.0,0.1415710300207138,0.3304601013660431,0.005572554068144955
100,2,0.2,0.1353337466716766,0.3512312173843384,0.0,0.1697126626968383,0.3323585391044616,0.09830814206302445
100,2,0.4,0.1306211054325103,0.4074423611164093,0.0,0.2436815947294235,0.3325239717960357,0.27080937333344973
100,2,0.6,0.1260509043931961,0.4787509143352508,0.0,0.3222613632678985,0.3311153650283813,0.4076622739559907
100,2,0.8,0.1219730973243713,0.5516313910484314,0.0,0.391325443983078,0.3285006880760193,0.5062740344329731
100,4,0.0,1.3397773557244366e-07,0.3281802237033844,0.0,1.190226583958065e-07,0.3304601013660431,-0.05140298718506215
100,4,0.2,1.379961247494066e-07,0.3512312173843384,0.0,0.1021799519658088,0.3323585391044616,5.86949880360883
100,4,0.4,1.3498079454166145e-07,0.4074423611164093,0.0,0.1869909912347793,0.3325239717960357,6.1415487035883904
100,4,0.6,1.2506041002779966e-07,0.4787509143352508,0.0,0.2444652616977691,0.3311153650283813,6.2910973067323415
100,4,0.8,1.371790290249919e-07,0.5516313910484314,0.0,0.2926366329193115,0.3285006880760193,6.329040966635594
100,8,0.0,1.3755857253272552e-07,0.3281802237033844,0.0,1.2463384280181344e-07,0.3304601013660431,-0.042851674716945884
100,8,0.2,1.3894957362481366e-07,0.3512312173843384,0.0,0.0542869120836257,0.3323585391044616,5.591837920617081
100,8,0.4,1.3910496932112437e-07,0.4074423611164093,0.0,0.1030386537313461,0.3325239717960357,5.8696575309031465
100,8,0.6,1.3684199018371146e-07,0.4787509143352508,0.0,0.141458511352539,0.3311153650283813,6.014409701654132
100,8,0.8,1.4258644398523757e-07,0.5516313910484314,0.0,0.1699861288070678,0.3285006880760193,6.076335245441818
101,1,0.0,0.2505607306957245,0.3385186791419983,0.0,0.249380961060524,0.3395814299583435,-0.0020497126045460915
101,1,0.2,0.2407437711954116,0.3567008674144745,0.0,0.2631712853908539,0.3421174585819244,0.03868344230527466
101,1,0.4,0.230982556939125,0.4019503593444824,0.0,0.3082265555858612,0.3444589078426361,0.1252908684901976
101,1,0.6,0.2219661474227905,0.4604924619197845,0.0,0.3658191859722137,0.3464665114879608,0.21697973477433882
101,1,0.8,0.214182361960411,0.5217574834823608,0.0,0.4240188598632812,0.348076194524765,0.2966014703630438
101,2,0.0,0.1649601012468338,0.3385186791419983,0.0,0.1667415052652359,0.3395814299583435,0.004664803294017308
101,2,0.2,0.1640340387821197,0.3567008674144745,0.0,0.1883744001388549,0.3421174585819244,0.06008790429773882
101,2,0.4,0.1622604578733444,0.4019503593444824,0.0,0.2435994744300842,0.3444589078426361,0.17646364981039317
101,2,0.6,0.1598624289035797,0.4604924619197845,0.0,0.3054825663566589,0.3464665114879608,0.28124002322151453
101,2,0.8,0.1570937633514404,0.5217574834823608,0.0,0.3620675802230835,0.348076194524765,0.3626306957161965
101,4,0.0,1.4763369904358117e-07,0.3385186791419983,0.0,1.471079258408281e-07,0.3395814299583435,-0.001549429219432485
101,4,0.2,1.4720805552315144e-07,0.3567008674144745,0.0,0.092101827263832,0.3421174585819244,5.796336670387099
101,4,0.4,1.590136378126772e-07,0.4019503593444824,0.0,0.1715060770511627,0.3444589078426361,6.032845139995132
101,4,0.6,1.5390591556752042e-07,0.4604924619197845,0.0,0.2294170707464218,0.3464665114879608,6.173370417476226
101,4,0.8,1.6239823708019685e-07,0.5217574834823608,0.0,0.2767449021339416,0.348076194524765,6.231498319135411
101,8,0.0,1.500445137025963e-07,0.3385186791419983,0.0,1.5066264325014345e-07,0.3395814299583435,0.0017854621913813609
101,8,0.2,1.503992592688519e-07,0.3567008674144745,0.0,0.0465234071016311,0.3421174585819244,5.490425815085401
101,8,0.4,1.6440650085769448e-07,0.4019503593444824,0.0,0.089168757200241,0.3444589078426361,5.734293727514195
