rank,magnitude_strength,capacity_gap_log10_mean,lora_relative_error_mean,dora_relative_error_mean,n_seeds
1,0.0,0.0011654490582811078,0.2242853686213493,0.22374054491519924,10
1,0.2,0.04914936353106777,0.2468746244907379,0.22080177068710322,10
1,0.4,0.1473322002613641,0.3048780024051666,0.21776060760021204,10
1,0.6,0.24373067116007321,0.3753939807415008,0.2148914903402328,10
1,0.8,0.32246659272662115,0.4445840835571289,0.21240565329790112,10
2,0.0,0.004031117678128728,0.15167265385389325,0.15020986646413798,10
2,0.2,0.08902902952020801,0.1820001602172851,0.14851135611534114,10
2,0.4,0.232859056826593,0.25019371509552,0.14667214304208753,10
2,0.6,0.3501205243079521,0.3235771685838699,0.14485243409872053,10
2,0.8,0.4342985145820363,0.3880694001913071,0.14318931773304935,10
4,0.0,-0.03698690451239289,1.274930028216659e-07,1.4013706532978177e-07,10
4,0.2,5.816537027663945,0.09478464573621745,1.4680758937402062e-07,10
4,0.4,6.093741867370718,0.17758965343236918,1.455713039888451e-07,10
4,0.6,6.245839999521641,0.24155185222625727,1.4002947068547655e-07,10
4,0.8,6.31102734675208,0.2923089176416397,1.4510765709019324e-07,10
8,0.0,-0.03959316469855211,1.2958510637872677e-07,1.4342163296987563e-07,10
8,0.2,5.518895602523781,0.04797428250312799,1.475535434281028e-07,10
8,0.4,5.792802191078462,0.09198023527860637,1.5046227090920184e-07,10
8,0.6,5.952538709390944,0.12886387705802912,1.459761172384333e-07,10
8,0.8,6.032363986500927,0.15788834542036054,1.4860549413242552e-07,10

