method,rank,magnitude_strength,trainable_parameters,relative_weight_error_mean,relative_weight_error_std,expected_output_mse_mean,expected_output_mse_std,direction_error_mean,magnitude_relative_mae_mean,n_seeds
DoRA construction,1,0.0,64,0.2237405449151993,0.02222038611985152,0.055326256155967715,0.011688787507088527,0.026585977151989938,4.6193599700927736e-08,10
DoRA construction,1,0.2,64,0.22080177068710327,0.020159570248648496,0.05442905053496361,0.011120526335307334,0.026585977151989938,3.4645199775695803e-08,10
DoRA construction,1,0.4,64,0.2177606076002121,0.019807259613091106,0.05511851273477077,0.011806295373527804,0.02658596821129322,3.762543201446533e-08,10
DoRA construction,1,0.6,64,0.21489149034023286,0.020593251315116468,0.057394645735621454,0.013458642960695261,0.026585980504751205,3.427267074584961e-08,10
DoRA construction,1,0.8,64,0.21240565329790115,0.021767175335812898,0.06125744134187698,0.015756770609254293,0.026585977524518967,3.688037395477295e-08,10
DoRA construction,2,0.0,112,0.15020986646413803,0.01361854852805555,0.024938410706818105,0.005360559594770416,0.011751242354512215,3.986060619354248e-08,10
DoRA construction,2,0.2,112,0.1485113561153412,0.012600973326838837,0.024609809182584284,0.005024651649304834,0.011751239374279975,3.650784492492676e-08,10
DoRA construction,2,0.4,112,0.14667214304208756,0.012372052443647414,0.024979617074131967,0.005154652087138239,0.011751222237944604,3.3155083656311036e-08,10
DoRA construction,2,0.6,112,0.14485243409872056,0.01280083469381406,0.026047836057841778,0.005708439171109421,0.011751244217157364,4.6938657760620116e-08,10
DoRA construction,2,0.8,112,0.14318931773304938,0.01358503151315949,0.027814465947449206,0.0066041967738779996,0.011751236766576767,3.4645199775695803e-08,10
DoRA construction,4,0.0,208,1.4013706532978177e-07,3.175975229998809e-08,2.251248605665123e-14,1.1067701874138237e-14,4.097819328308106e-09,2.570450305938721e-08,10
DoRA construction,4,0.2,208,1.468075893740206e-07,2.9250559792732987e-08,2.4803678330535297e-14,1.1156450812135344e-14,4.8428773880004884e-09,4.32133674621582e-08,10
DoRA construction,4,0.4,208,1.455713039888451e-07,3.029139000791187e-08,2.5233026456597704e-14,1.1034092337767875e-14,2.2351741790771484e-09,3.129243850708008e-08,10
DoRA construction,4,0.6,208,1.4002947068547655e-07,3.232708875014633e-08,2.5131511844858233e-14,1.2277836411708716e-14,1.9744038581848144e-08,3.2782554626464846e-08,10
DoRA construction,4,0.8,208,1.4510765709019324e-07,2.917357320429313e-08,2.913379749307308e-14,1.2347000052255684e-14,7.450580596923828e-09,4.358589649200439e-08,10
DoRA construction,8,0.0,400,1.4342163296987563e-07,3.2842109540134126e-08,2.3583935301082873e-14,1.1808171665537371e-14,2.2351741790771484e-09,2.458691596984863e-08,10
DoRA construction,8,0.2,400,1.475535434281028e-07,3.078211592681023e-08,2.5095662107101935e-14,1.1908921493125156e-14,1.0058283805847169e-08,3.91155481338501e-08,10
DoRA construction,8,0.4,400,1.5046227090920184e-07,3.050611451554695e-08,2.6973233285061855e-14,1.1846369586674849e-14,-7.450580596923829e-10,3.986060619354248e-08,10
