problem_seed,magnitude_strength,optimized_dora_relative_weight_error_mean,optimized_dora_expected_output_mse_mean,optimized_dora_direction_error_mean,optimized_dora_magnitude_relative_mae_mean,feasible_dora_relative_weight_error_mean,lora_oracle_relative_weight_error_mean,optimized_dora_relative_weight_error_median,optimized_dora_relative_weight_error_max,convergence_rate_lt_1e3,n_initializations
200,0.0,1.4627851442128303e-06,2.5674367579858746e-12,-8.195638656616212e-09,1.3113021850585939e-07,1.8353757980094088e-07,1.8066619134060602e-07,1.4711873745909543e-06,1.5339710444095545e-06,1.0,5
200,0.4,1.2910209306937758e-06,2.2224275479827695e-12,-5.960464477539063e-09,1.825392246246338e-07,1.8083343888974923e-07,0.17985349893569946,1.3988028513267636e-06,1.5037320508781704e-06,1.0,5
200,0.8,0.00019195736292658693,2.7496253585997805e-07,6.407499313354492e-08,3.159046173095703e-06,1.7742691227340401e-07,0.2817622125148773,1.7983429643209092e-06,0.0009527731453999877,1.0,5
201,0.0,2.6217063577860245e-06,1.3539103995915958e-11,-2.9802322387695314e-09,1.3187527656555175e-07,1.29915719071505e-07,1.1684894474228713e-07,1.5301932307920652e-06,7.088009169819998e-06,1.0,5
201,0.4,1.477616046940966e-06,2.6253376209095515e-12,1.4156103134155273e-08,1.3783574104309082e-07,1.3840045198776352e-07,0.1837637573480606,1.4855121435175533e-06,1.6573237644479377e-06,1.0,5
201,0.8,1.4469584812104586e-06,2.9274611380858405e-12,1.1175870895385742e-08,1.0877847671508789e-07,1.3245796992578107e-07,0.29327279329299927,1.4589658121622051e-06,1.5895602700766176e-06,1.0,5
202,0.0,1.541185520181898e-06,2.556294108682633e-12,4.470348358154297e-09,1.594424247741699e-07,1.5681717968618614e-07,1.2604425592144253e-07,1.5687422774135484e-06,1.5919823681542766e-06,1.0,5
202,0.4,1.451581715627981e-06,2.4430230408101215e-12,-2.2351741790771484e-09,2.421438694000244e-07,1.5723178137250216e-07,0.17279522120952606,1.4360249451783602e-06,1.5502937458222732e-06,1.0,5
202,0.8,2.295317472089664e-06,8.234209950171156e-12,8.940696716308593e-09,9.760260581970215e-08,1.510402682924905e-07,0.283800333738327,2.1210478280409006e-06,3.7791196518810466e-06,1.0,5
203,0.0,4.17533474319498e-06,5.536640737893728e-11,-1.0430812835693359e-08,1.341104507446289e-07,1.348315521454424e-07,1.0836448183226821e-07,1.467807692279166e-06,1.5033907402539626e-05,1.0,5
203,0.4,1.371958001072926e-06,2.3712893194166586e-12,-1.3411045074462891e-08,1.2516975402832032e-07,1.2444368735486933e-07,0.17909793555736542,1.3637551319334307e-06,1.438720346413902e-06,1.0,5
203,0.8,0.0010682612283289927,8.493974810175375e-06,2.7351081371307375e-06,2.575516700744629e-05,1.1443407288425078e-07,0.28656044602394104,2.49253957917972e-06,0.005333357024937868,0.8,5
204,0.0,1.5798740832906333e-06,2.7145640336262433e-12,1.7136335372924803e-08,1.296401023864746e-07,1.7245707795154885e-07,1.2797211468296155e-07,1.577712964717648e-06,1.6480922795381048e-06,1.0,5
