problem_seed,initialization,init_seed,rank,magnitude_strength,true_direction_rank,direction_strength,selected_learning_rate,optimization_steps,optimization_mse,optimized_dora_relative_weight_error,optimized_dora_expected_output_mse,optimized_dora_direction_error,optimized_dora_magnitude_relative_mae,feasible_dora_relative_weight_error,feasible_dora_expected_output_mse,feasible_dora_direction_error,feasible_dora_magnitude_relative_mae,lora_oracle_relative_weight_error,lora_oracle_expected_output_mse,lora_oracle_direction_error,lora_oracle_magnitude_relative_mae
200,0,1020200,4,0.0,4,0.35,0.03,242,8.10848512899226e-14,1.4711873745909543e-06,2.594715241277523e-12,0.0,1.564621925354004e-07,1.8353757980094088e-07,4.0383481606474925e-14,-1.1175870895385742e-08,3.3527612686157227e-08,1.8066619134060602e-07,3.9129791529375624e-14,3.725290298461914e-09,3.725290298461914e-08
200,1,1020201,4,0.0,4,0.35,0.01,248,8.113882422932164e-14,1.4716769101141836e-06,2.5964423753382926e-12,-2.9802322387695312e-08,1.0803341865539551e-07,1.8353757980094088e-07,4.0383481606474925e-14,-1.1175870895385742e-08,3.3527612686157227e-08,1.8066619134060602e-07,3.9129791529375624e-14,3.725290298461914e-09,3.725290298461914e-08
200,2,1020202,4,0.0,4,0.35,0.01,248,8.815321248575175e-14,1.5339710444095545e-06,2.820902799544056e-12,-3.3527612686157227e-08,1.3783574104309082e-07,1.8353757980094088e-07,4.0383481606474925e-14,-1.1175870895385742e-08,3.3527612686157227e-08,1.8066619134060602e-07,3.9129791529375624e-14,3.725290298461914e-09,3.725290298461914e-08
200,3,1020203,4,0.0,4,0.35,0.01,253,7.397648303392873e-14,1.405222064931877e-06,2.3672474570857194e-12,1.4901161193847656e-08,9.685754776000977e-08,1.8353757980094088e-07,4.0383481606474925e-14,-1.1175870895385742e-08,3.3527612686157227e-08,1.8066619134060602e-07,3.9129791529375624e-14,3.725290298461914e-09,3.725290298461914e-08
200,4,1020204,4,0.0,4,0.35,0.01,248,7.680862239636821e-14,1.4318683270175825e-06,2.4578759166837827e-12,7.450580596923828e-09,1.564621925354004e-07,1.8353757980094088e-07,4.0383481606474925e-14,-1.1175870895385742e-08,3.3527612686157227e-08,1.8066619134060602e-07,3.9129791529375624e-14,3.725290298461914e-09,3.725290298461914e-08
200,0,1020200,4,0.4,4,0.35,0.01,263,8.188983074541162e-14,1.428150653737248e-06,2.6204745838531718e-12,1.4901161193847656e-08,2.421438694000244e-07,1.8083343888974923e-07,4.201354907962078e-14,0.0,4.0978193283081055e-08,0.17985349893569946,0.04155943915247917,0.0090009905397892,0.13033899664878845
200,1,1020201,4,0.4,4,0.35,0.03,254,9.078682765414556e-14,1.5037320508781704e-06,2.905178484932658e-12,-2.2351741790771484e-08,1.9371509552001953e-07,1.8083343888974923e-07,4.201354907962078e-14,0.0,4.0978193283081055e-08,0.17985349893569946,0.04155943915247917,0.0090009905397892,0.13033899664878845
200,2,1020202,4,0.4,4,0.35,0.01,357,2.585376472641083e-14,8.024554745134083e-07,8.273204712451465e-13,-2.2351741790771484e-08,7.82310962677002e-08,1.8083343888974923e-07,4.201354907962078e-14,0.0,4.0978193283081055e-08,0.17985349893569946,0.04155943915247917,0.0090009905397892,0.13033899664878845
200,3,1020203,4,0.4,4,0.35,0.03,254,7.016505838798245e-14,1.3219636230132892e-06,2.2452818684154385e-12,1.862645149230957e-08,2.4586915969848633e-07,1.8083343888974923e-07,4.201354907962078e-14,0.0,4.0978193283081055e-08,0.17985349893569946,0.04155943915247917,0.0090009905397892,0.13033899664878845
200,4,1020204,4,0.4,4,0.35,0.01,274,7.855882285835725e-14,1.3988028513267636e-06,2.513882331467432e-12,-1.862645149230957e-08,1.5273690223693848e-07,1.8083343888974923e-07,4.201354907962078e-14,0.0,4.0978193283081055e-08,0.17985349893569946,0.04155943915247917,0.0090009905397892,0.13033899664878845
200,0,1020200,4,0.8,4,0.35,0.1,686,1.2374744783570646e-13,1.6170140497706598e-06,3.959918330742607e-12,-1.862645149230957e-08,1.4528632164001465e-07,1.7742691227340401e-07,4.767575765597665e-14,-1.862645149230957e-08,3.3527612686157227e-08,0.2817622125148773,0.12023314088582993,0.049159418791532516,0.3321593105792999
200,1,1020201,4,0.8,4,0.35,0.1,388,1.6139684261371606e-13,1.8466865867594606e-06,5.164698963638914e-12,-1.1175870895385742e-08,1.1548399925231934e-07,1.7742691227340401e-07,4.767575765597665e-14,-1.862645149230957e-08,3.3527612686157227e-08,0.2817622125148773,0.12023314088582993,0.049159418791532516,0.3321593105792999
200,2,1020202,4,0.8,4,0.35,0.1,851,4.296231281841756e-08,0.0009527731453999877,1.3747940101893619e-06,3.7997961044311523e-07,1.5284866094589233e-05,1.7742691227340401e-07,4.767575765597665e-14,-1.862645149230957e-08,3.3527612686157227e-08,0.2817622125148773,0.12023314088582993,0.049159418791532516,0.3321593105792999
200,3,1020203,4,0.8,4,0.35,0.03,1131,1.4520824050557463e-13,1.7516256320959656e-06,4.646663696178388e-12,-1.1175870895385742e-08,1.564621925354004e-07,1.7742691227340401e-07,4.767575765597665e-14,-1.862645149230957e-08,3.3527612686157227e-08,0.2817622125148773,0.12023314088582993,0.049159418791532516,0.3321593105792999
200,4,1020204,4,0.8,4,0.35,0.1,564,1.5305717305548472e-13,1.7983429643209092e-06,4.897829537775511e-12,-1.862645149230957e-08,9.313225746154785e-08,1.7742691227340401e-07,4.767575765597665e-14,-1.862645149230957e-08,3.3527612686157227e-08,0.2817622125148773,0.12023314088582993,0.049159418791532516,0.3321593105792999
201,0,1020301,4,0.0,4,0.35,0.01,240,8.347814627052141e-14,1.5301932307920652e-06,2.6713006806566852e-12,3.725290298461914e-09,1.341104507446289e-07,1.29915719071505e-07,1.9255447524001504e-14,-3.725290298461914e-08,3.3527612686157227e-08,1.1684894474228713e-07,1.5576854584843647e-14,-1.4901161193847656e-08,5.587935447692871e-08
